Unnamed: 0.1,Unnamed: 0,Query,Link,Status
233,233,pakistan international airlines,https://www.trustpilot.com/review/piac.com.pk,Collected
234,234,peach aviation,https://www.trustpilot.com/review/flypeach.com,Collected
235,235,pegasus airlines,https://www.trustpilot.com/review/www.flypgs.com,Collected
236,236,pegasus airlines,https://www.trustpilot.com/review/web.flypgs.com,Collected
237,237,peruvian airlines,https://www.trustpilot.com/review/www.peruvian.pe,Collected
238,238,philippine airlines,https://www.trustpilot.com/review/philippineairlines.com,Collected
239,239,plus ultra lineas aereas,https://www.trustpilot.com/review/plusultra.com,Collected
240,240,porter airlines,https://www.trustpilot.com/review/flyporter.com,Collected
241,241,primera air,https://www.trustpilot.com/review/primeraair.dk,Collected
242,242,primera air,https://www.trustpilot.com/review/www.primeraair.com,Collected
243,243,qantas,https://www.trustpilot.com/review/www.qantas.com.au,Collected
244,244,qantas,https://www.trustpilot.com/review/quantas.com,Collected
245,245,qatar airways,https://www.trustpilot.com/review/www.qatarairways.com,Collected
246,246,qatar airways,https://www.trustpilot.com/review/careers.qatarairways.com,Collected
247,247,regent airways,https://www.trustpilot.com/review/www.flyregent.com,Collected
248,248,royal air maroc,https://www.trustpilot.com/review/www.royalairmaroc.com,Collected
249,249,royal brunei airlines,https://www.trustpilot.com/review/www.flyroyalbrunei.com,Collected
250,250,royal jordanian,https://www.trustpilot.com/review/rj.com,Collected
251,251,rwandair,https://www.trustpilot.com/review/rwandair.com,Collected
252,252,ryanair,https://www.trustpilot.com/review/www.ryanair.com,Collected
253,253,ryanair,https://www.trustpilot.com/review/www.ryanair.it,Collected
254,254,ryanair,https://www.trustpilot.com/review/ryanair.de,Collected
255,255,ryanair,https://www.trustpilot.com/review/www.ryanair.co.uk,Collected
256,256,ryanair,https://www.trustpilot.com/review/ryanair.se,Collected
257,257,ryanair,https://www.trustpilot.com/review/ryanair.be,Collected
258,258,ryanair,https://www.trustpilot.com/review/help.ryanair.com,Collected
259,259,ryanair,https://www.trustpilot.com/review/ryanair.fr,Collected
260,260,s7 airlines,https://www.trustpilot.com/review/s7.ru,Collected
261,261,salamair,https://www.trustpilot.com/review/www.salamair.com,Collected
262,262,sansa,https://www.trustpilot.com/review/www.sansa.co.uk,Collected
